"Name","Type","Position","Territory","Jurisdiction","Date_Designated","DOB","Nationality","Reference_ID","Programme"
"АО “ГРПЗ”","Entity","JSC “State Ryazan Instrument Plant” is the largest Russian enterprise for serial production and support of radar systems and communications equipment.\nThe company’s main sphere of activity is the manufacture of radar, radio navigation equipment and remote-control radio equipment, which is used in fighter jets such as MiG 29, Su-27, Su-30, Su-35 and fifth-generation fighter jet Su-57 (T-50) and in helicopters such as Mi 8, Mi 17, Mi-35 and Mi-28N. JSC “State Ryazan Instrument Plant” also has an active licence that allows it to provide a service maintenance of weapons and military equipment.","Ukraine (general)","EU","2025-07-19","","","EU.13329.51","UKR — 2025/1476 (OJ L202501476)"
"АО “ЗАВОД ‘ПЛАСТМАСС’”","Entity","JSC Plastmass Plant is a Russian entity, part of Rostec State Corporation, producing artillery ammunition for Russian Armed Forces, in particular for howitzers, which are widely used by Russian military in Russia’s war of aggression against Ukraine.","Ukraine (general)","EU","2024-12-16","","","EU.12599.58","UKR — 2024/3183 (OJ L16122024)"
"АО “ЗНТЦ”","Entity","JSC Zelenograd Nanotechnology Center is a Russian research and manufacturing company which is developing and producing high-tech electronical components, including for the development of the Russian military-industrial complex.","Ukraine (general)","EU","2025-02-24","","","EU.12719.33","UKR — 2025/389 (OJ L24022025)"
"АО “Завод ‘Дагдизель’”","Entity","JSC Zavod Dagdizel is a military industry company","Ukraine (general)","EU","2024-02-23","","","EU.11377.19","UKR — 2024/753 (OJ L23022024)"
"АО “КНИРТИ”","Entity","JSC “Kaluga Research Institute of Radio Engineering” (JSC KNIRTI) is one of the main military-industrial companies in the Kaluga region.","Ukraine (general)","EU","2024-12-16","","","EU.12607.57","UKR — 2024/3183 (OJ L16122024)"
"АО “МОРИОН”","Entity","JSC Morion is a leading Russian enterprise in the development and serial production of piezoelectric frequency stabilisation and selection devices (namely quartz generators, filters and resonators), which it supplies to the Russian defence industry.","Ukraine (general)","EU","2025-02-24","","","EU.12743.43","UKR — 2025/389 (OJ L24022025)"
"АО “НИИ СТТ”","Entity","JSC “Research Institute of Modern Telecommunication Technologies” specialises in the production of radio and television transmitting equipment. It also produces weapons and ammunition. The products of JSC “Research Institute of Modern Telecommunication Technologies” are used by Russia in its war of aggression against Ukraine, in particular its drone Merlin-VR.","Ukraine (general)","EU","2025-07-19","","","EU.13366.27","UKR — 2025/1476 (OJ L202501476)"
"АО “НИИВК ИМ. М.А. КАРЦЕВА”","Entity","JSC “Scientific Research Institute of Computing Complexes Named After M.A. Kartsev” is a research institute based in Russia and involved in the development and production of unmanned aerial vehicles (UAVs).","Ukraine (general)","EU","2025-02-24","","","EU.12713.39","UKR — 2025/389 (OJ L24022025)"
"АО “ПЭМЗ ‘МОЛОТ’”","Entity","","Ukraine (general)","EU","2024-02-23","","","EU.11375.21","UKR — 2024/753 (OJ L23022024)"
"АО “Полимер”","Entity","JSC Polymer is a Russia-based company integrated into the structure of NPK Tekhmash JSC, part of the State Corporation Rostec, which is responsible for executing the State armament programme and fulfilling the State defence orders. It is specialised in the manufacture of weapons, ammunition and explosives, and supplies its products to the Russian Armed Forces and companies of the Russian military and industrial complex. As explained by the General Director of JSC Polymer, the company’s military production has increased since 2022 with a view to responding to the needs of the Russian armed forces in the context of Russia’s war of aggression against Ukraine.","Ukraine (general)","EU","2025-07-19","","","EU.13326.54","UKR — 2025/1476 (OJ L202501476)"
"АО “Промтех”","Entity","","Ukraine (general)","EU","2025-02-24","","","EU.12724.7","UKR — 2025/389 (OJ L24022025)"
"АО “Радиоавионика”","Entity","Russian technology sector company","Ukraine (general)","EU","2022-12-16","","","EU.9380.48","UKR — 2024/2455 (OJ L13092024)"
"АО “СЭМЗ”","Entity","JSC “Samara Electromechanical Plant” (JSC SEMZ) is a Russian military industry company. JSC SEMZ manufactures high-tech products, precision mechanics, electronics and various machine parts, as well as electronic equipment units for special-purpose complexes","Ukraine (general)","EU","2025-02-24","","","EU.12739.68","UKR — 2025/389 (OJ L24022025)"
"АО “Уралкриомаш”","Entity","Uralcryomash is a Russian company producing dual-use technology","Ukraine (general)","EU","2024-02-23","","","EU.11392.59","UKR — 2024/753 (OJ L23022024)"
"Айрат Минерасихович ГИБАТДИНОВ","Individual","Member of the Federation Council","Ukraine (general)","EU","2022-03-09","1986-01-16","","EU.7627.84","UKR — 2022/1529 (OJ L239)"
"Акционерное Общество “КОМПАНИЯ ФАРАДЕЙ”","Entity","JSC Faraday is a shoe manufacturer for the Russian Army, as well as for the Russian Ministry of the Interior and for Rosgvardiya","Ukraine (general)","EU","2025-02-24","","","EU.12744.42","UKR — 2025/389 (OJ L24022025)"
"Акционерное Общество “ОДК-СТАР” (АО “ОДК-СТАР”)","Entity","JSC “ODK-Star” is a developer and a serial producer of fuel-supply and control systems for air, ground and marine gas turbine engines. JSC “ODK-Star” is involved in the most important programmes of Russian engine building, including in the creation of D30-KP and PD-8 engines.","Ukraine (general)","EU","2024-12-16","","","EU.12605.59","UKR — 2024/3183 (OJ L16122024)"
"Акционерное общество Научно Производственное Предприятие “Военные Технологии”","Entity","JSC Scientific and Production Enterprise “Military Technologies” is a Russian defence enterprise that develops and manufactures high-tech and high-quality complex military-technical equipment, automated control systems and open-source software and decision support systems.","Ukraine (general)","EU","2025-07-19","","","EU.13358.56","UKR — 2025/1476 (OJ L202501476)"
"Александр Александрович КАРЕЛИН","Individual","Member of the Federation Council","Ukraine (general)","EU","2022-03-09","1967-09-19","","EU.7670.33","UKR — 2022/1529 (OJ L239)"
"Александр Александрович САВИН","Individual","Member of the Federation Council","Ukraine (general)","EU","2022-03-09","1962-01-28","","EU.7703.62","UKR — 2022/1529 (OJ L239)"
"Александр Богданович КАРЛИН","Individual","Member of the Federation Council","Ukraine (general)","EU","2022-03-09","1951-10-29","","EU.7649.20","UKR — 2022/1529 (OJ L239)"
"Александр Валерьевич НИКИТИН","Individual","Member of the Federation Council","Ukraine (general)","EU","2022-03-09","1976-04-26","","EU.7727.93","UKR — 2022/1529 (OJ L239)"
"Александр Васильевич РАКИТИН","Individual","Former member of the Federation Council of the Russian Federation","Ukraine (general)","EU","2022-03-09","1958-05-17","","EU.7767.66","UKR — 2023/571 (OJ L75 I)"
"Александр Викторович ГАЛКИН","Individual","","Ukraine (general)","EU","","1958-03-22","","EU.2798.65","UKR — 2020/398 (OJ L78)"
"Александр Владеленович ВАЙНБЕРГ","Individual","Member of the Federation Council","Ukraine (general)","EU","2022-03-09","1961-02-02","","EU.7677.26","UKR — 2022/1529 (OJ L239)"
"Александр Владимирович ДВОЙНЫХ","Individual","Member of the Federation Council","Ukraine (general)","EU","2022-03-09","1984-01-19","","EU.7771.41","UKR — 2022/1529 (OJ L239)"
"Александр Владимирович НАРОЛИН","Individual","Member of the Federation Council","Ukraine (general)","EU","2022-03-09","1972-06-27","","EU.7725.95","UKR — 2022/1529 (OJ L239)"
"Александр Владиславович ГУСАКОВСКИЙ","Individual","Member of the Federation Council","Ukraine (general)","EU","2022-03-09","1970-08-25","","EU.7634.56","UKR — 2022/1529 (OJ L239)"
"Александр Вячеславович НОВЬЮХОВ","Individual","Member of the Federation Council","Ukraine (general)","EU","2022-03-09","1975-10-05","","EU.7731.68","UKR — 2022/1529 (OJ L239)"
"Александр Геннадьевич ВЫСОКИНСКИЙ","Individual","Member of the Federation Council","Ukraine (general)","EU","2022-03-09","1973-09-24","","EU.7676.27","UKR — 2022/1529 (OJ L239)"
"Александр Георгиевич ВАРФОЛОМЕЕВ","Individual","Member of the Federation Council","Ukraine (general)","EU","2022-03-09","1965-06-04","","EU.7665.59","UKR — 2022/1529 (OJ L239)"
"Александр Георгиевич ЯРОШУК","Individual","Member of the Federation Council","Ukraine (general)","EU","2022-03-09","1965-11-15","","EU.7655.90","UKR — 2022/1529 (OJ L239)"
"Александр Завенович АКОПОВ","Individual","Deputy CEO of “National Media Group”","Ukraine (general)","EU","2023-02-25","1957-11-22","","EU.9870.27","UKR — 2023/429 (OJ L59 I)"
"Александр Иванович МОРОЗ","Individual","","Ukraine (general)","EU","2024-06-24","1975-06-15","","EU.11817.56","UKR — 2024/2455 (OJ L13092024)"
"Александр Иванович УДАЛЬЦОВ","Individual","Executive Director of the Fund for Support and Protection of the Rights of Compatriots Living Abroad (Pravfond)","Ukraine (general)","EU","2023-06-23","1951-07-05","","EU.10266.54","UKR — 2023/1216 (OJ L159 I)"
"Александр КАЛИНИН","Individual","leader of the Party of Regions of Moldova, head of  the interregional public organisation Congress of Moldovan Diasporas","Ukraine (general)","EU","2023-05-30","1977-02-16","","EU.10152.80","UKR — 2023/1046 (OJ L140 I)"
"Александр Константинович АКИМОВ","Individual","Member of the Federation Council","Ukraine (general)","EU","2022-03-09","1954-11-10","","EU.7715.29","UKR — 2022/1529 (OJ L239)"
"Александр Николаевич ЛОМАКИН","Individual","Deputy Minister of Construction, Housing and Utilities of the Russian Federation, in charge of the Department of Industrial and Civil Engineering and the Department of Licensing Activities and Interdepartmental Cooperation","Ukraine (general)","EU","2024-06-24","","","EU.11792.95","UKR — 2024/1746 (OJ L24062024)"
"Александр Сергеевич УШКО","Individual","Aleksandr Ushko is the Lead Marketing Manager of LLC Open Systems Development Technology (LLC TROS), a Russia-based entity that manufactures metalworking equipment and is a wholesaler of machine tools.","Ukraine (general)","EU","","1991-01-15","","EU.13333.26","UKR — 2025/1476 (OJ L202501476)"
"Александр Юрьевич БРЫКСИН","Individual","Member of the Federation Council","Ukraine (general)","EU","2022-03-09","1967-01-20","","EU.7759.95","UKR — 2022/1529 (OJ L239)"
"Александр Юрьевич ПРОНЮШКИН","Individual","Former member of the Federation Council","Ukraine (general)","EU","2022-03-09","1987-07-31","","EU.7753.4","UKR — 2023/1765 (OJ L226)"
"Алексей Александрович ПЕТРОВ","Individual","Advisor to the Office of the Commissioner for Children’s Rights of the Russian Federation","Ukraine (general)","EU","2022-12-16","1995-09-29","","EU.9412.78","UKR — 2023/1765 (OJ L226)"
"Алексей Алексеевич ШАШКОВ","Individual","General Director of JSC Research Institute of Space Instrumentation.","Ukraine (general)","EU","2025-05-20","","","EU.13033.96","UKR — 2025/933 (OJ L202500933)"
"Алексей Васильевич ЕРЕСЬКО","Individual","Deputy Minister of Construction, Housing and Utilities of the Russian Federation, in charge of the Department of Housing and Communal Services and the Department of Strategic Projects","Ukraine (general)","EU","2024-06-24","1973-12-26","","EU.11790.0","UKR — 2024/1746 (OJ L24062024)"
"Алексей Владимирович СИНИЦЫН","Individual","Member of the Federation Council","Ukraine (general)","EU","2022-03-09","1976-01-13","","EU.7735.64","UKR — 2022/1529 (OJ L239)"
"Алексей Константинович КАХИДЗЕ","Individual","Businessperson","Ukraine (general)","EU","2024-12-16","","","EU.12593.64","UKR — 2024/3183 (OJ L16122024)"
"Алексей Маратович ОРЛОВ","Individual","Former member of the Federation Council","Ukraine (general)","EU","2022-03-09","1961-10-09","","EU.7748.30","UKR — 2025/527 (OJ L202500527)"
"Алексей Николаевич ВЯЗНИКОВ","Individual","General director of JSC Central Research Institute “Elektron”.","Ukraine (general)","EU","2025-05-20","","","EU.13032.0","UKR — 2025/933 (OJ L202500933)"
